OID_,Join_Count,TARGET_FID,OBJECT_ID,KODE_DESA,DESA,KODE,PROVINSI,KAB_KOTA,KECAMATAN,DESA_KELUR,JUMLAH_PEN,JUMLAH_KK,LUAS_WILAY,KEPADATAN,LUAS_DESA,KODE_DES_3,DESA_KEL_1,KODE_12,periode_data,wilayah,kecamatan_1,kelurahan,nama_halte,lokasi,koordinat_x,koordinat_y,halte_ratio,isDense,Shape_Length,Shape_Area
1,0,18,25441.000000000000000,3172031002,TUGU UTARA,317203.000000000000000,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,86287.000000000000000,27656.000000000000000,2.340000000000000,36802.000000000000000,25440.000000000000000,3172031002,TUGU UTARA,317203.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,6602.686486727027841,2318839.431720546912402
2,0,21,25442.000000000000000,3172031003,LAGOA,317203.000000000000000,DKI JAKARTA,JAKARTA UTARA,KOJA,LAGOA,74851.000000000000000,24071.000000000000000,1.590000000000000,47005.000000000000000,25441.000000000000000,3172031003,LAGOA,317203.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,5470.371244789178490,1574959.728502466576174
3,0,25,25439.000000000000000,3172021007,WARAKAS,317202.000000000000000,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,56502.000000000000000,18648.000000000000000,1.080000000000000,52152.000000000000000,25438.000000000000000,3172021007,WARAKAS,317202.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,4305.721531274255540,1071450.348061982309446
4,0,28,25445.000000000000000,3172031006,RAWA BADAK SELATAN,317203.000000000000000,DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,53360.000000000000000,17123.000000000000000,1.840000000000000,29064.000000000000000,25444.000000000000000,3172031006,RAWA BADAK SELATAN,317203.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,5589.573365169735553,1815675.276511959964409
5,0,29,25446.000000000000000,3172041001,CILINCING,317204.000000000000000,DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,55102.000000000000000,17275.000000000000000,7.340000000000000,7505.000000000000000,25445.000000000000000,3172041001,CILINCING,317204.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,19775.124063668197778,7002352.262127542868257
6,0,31,25449.000000000000000,3172041004,KALIBARU,317204.000000000000000,DKI JAKARTA,JAKARTA UTARA,CILINCING,KALIBARU,86964.000000000000000,28183.000000000000000,2.530000000000000,34416.000000000000000,25448.000000000000000,3172041004,KALIBARU,317204.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,11901.089851055157851,2483949.340677135158330
7,0,33,25452.000000000000000,3172041007,SEMPER BARAT,317204.000000000000000,DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER BARAT,86583.000000000000000,28354.000000000000000,3.300000000000000,26223.000000000000000,25451.000000000000000,3172041007,SEMPER BARAT,317204.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,10460.699067114252102,3265444.526529247872531
8,0,40,25463.000000000000000,3173011005,KAPUK,317301.000000000000000,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,167523.000000000000000,53227.000000000000000,6.140000000000000,27282.000000000000000,25462.000000000000000,3173011005,KAPUK,317301.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,15658.705370115005280,6071488.289280157536268
9,0,48,25495.000000000000000,3173051005,DURI KEPA,317305.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,72834.000000000000000,23494.000000000000000,3.700000000000000,19679.000000000000000,25494.000000000000000,3173051005,DURI KEPA,317305.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,8850.462956899893470,3659159.205968348309398
10,0,51,25502.000000000000000,3173061005,PEGADUNGAN,317306.000000000000000,DKI JAKARTA,JAKARTA BARAT,KALIDERES,PEGADUNGAN,89881.000000000000000,28034.000000000000000,7.580000000000000,11852.000000000000000,25501.000000000000000,3173061005,PEGADUNGAN,317306.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,11612.102709232991401,7496768.046890106983483
11,0,52,25503.000000000000000,3173071001,PALMERAH,317307.000000000000000,DKI JAKARTA,JAKARTA BARAT,PAL MERAH,PALMERAH,77404.000000000000000,24338.000000000000000,2.220000000000000,34839.000000000000000,25502.000000000000000,3173071001,PALMERAH,317307.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,6645.667116433430238,2196396.335524791385978
12,0,55,25509.000000000000000,3173081001,KEMBANGAN UTARA,317308.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,66547.000000000000000,20664.000000000000000,4.240000000000000,15699.000000000000000,25508.000000000000000,3173081001,KEMBANGAN UTARA,317308.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,12842.323098371047308,4190843.572049715090543
