OID_,OBJECT_ID,KODE_DESA,DESA,KODE,PROVINSI,KAB_KOTA,KECAMATAN,DESA_KELUR,JUMLAH_PEN,JUMLAH_KK,LUAS_WILAY,KEPADATAN,GENERATED,KODE_DES_1,LUAS_DESA,KODE_DES_3,DESA_KEL_1,KODE_12,SUM_Covered_Area,CoverageRate,Pop_Terlayani,PCSB_Persen,Shape_Length,Shape_Area
1,25477.000000000000000,3173031006,KEAGUNGAN,317303.000000000000000,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,21609.000000000000000,7255.000000000000000,0.360000000000000,60504.000000000000000,30 Juni 2019,3173031006,25476.000000000000000,3173031006,KEAGUNGAN,317303.000000000000000,291187.234544141450897,0.824550939477170,17817.721251162161934,82.455093947716989,2593.777072733740169,353146.446460016130004
2,25478.000000000000000,3173031007,GLODOK,317303.000000000000000,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,9069.000000000000000,3273.000000000000000,0.370000000000000,24527.000000000000000,30 Juni 2019,3173031007,25477.000000000000000,3173031007,GLODOK,317303.000000000000000,333562.607293894223403,0.912337811430076,8273.991611859359182,91.233781143007604,2405.312827081334945,365613.045392952975817
3,25397.000000000000000,3171031003,HARAPAN MULIA,317103.000000000000000,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29085.000000000000000,9217.000000000000000,0.530000000000000,54465.000000000000000,30 Juni 2019,3171031003,25396.000000000000000,3171031003,HARAPAN MULIA,317103.000000000000000,376859.521953431656584,0.713731669481458,20758.885606868196191,71.373166948145766,3645.967534935820822,528012.887888692435808
4,25400.000000000000000,3171031006,CEMPAKA BARU,317103.000000000000000,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,41913.000000000000000,13766.000000000000000,0.970000000000000,42993.000000000000000,30 Juni 2019,3171031006,25399.000000000000000,3171031006,CEMPAKA BARU,317103.000000000000000,618007.910056189051829,0.641128327655915,26871.611597042356152,64.112832765591477,5140.281401080695105,963937.922699140617624
5,25390.000000000000000,3171021001,PASAR BARU,317102.000000000000000,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15793.000000000000000,5599.000000000000000,1.760000000000000,8971.000000000000000,30 Juni 2019,3171021001,25389.000000000000000,3171021001,PASAR BARU,317102.000000000000000,1362370.236258094897494,0.782714948392147,12361.417179957170447,78.271494839214654,6359.437338283070858,1740570.102419711416587
6,25391.000000000000000,3171021002,KARANG ANYAR,317102.000000000000000,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,33383.000000000000000,11276.000000000000000,0.470000000000000,71628.000000000000000,30 Juni 2019,3171021002,25390.000000000000000,3171021002,KARANG ANYAR,317102.000000000000000,,,,,3208.680063742304810,460837.364984127925709
7,25394.000000000000000,3171021005,MANGGA DUA SELATAN,317102.000000000000000,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,35906.000000000000000,12817.000000000000000,1.310000000000000,27463.000000000000000,30 Juni 2019,3171021005,25393.000000000000000,3171021005,MANGGA DUA SELATAN,317102.000000000000000,700890.514170943759382,0.542130696383967,19465.744784362719656,54.213069638396703,5031.695750275387581,1292844.173286977224052
8,25386.000000000000000,3171011003,PETOJO UTARA,317101.000000000000000,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,21828.000000000000000,7328.000000000000000,1.140000000000000,19144.000000000000000,30 Juni 2019,3171011003,25385.000000000000000,3171011003,PETOJO UTARA,317101.000000000000000,745680.131304618553258,0.661444061853798,14438.000982144700174,66.144406185379793,4161.668489385539942,1127351.762929798569530
9,25403.000000000000000,3171041001,SENEN,317104.000000000000000,DKI JAKARTA,JAKARTA PUSAT,SENEN,SENEN,8643.000000000000000,3049.000000000000000,0.820000000000000,10594.000000000000000,30 Juni 2019,3171041001,25402.000000000000000,3171041001,SENEN,317104.000000000000000,764655.382249808753841,0.947911281549524,8192.797206432533130,94.791128154952361,5587.516632286644381,806673.995318299741484
10,25408.000000000000000,3171041006,BUNGUR,317104.000000000000000,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,23001.000000000000000,7944.000000000000000,0.670000000000000,34418.000000000000000,30 Juni 2019,3171041006,25407.000000000000000,3171041006,BUNGUR,317104.000000000000000,301887.220009515469428,0.456878276838558,10508.657245563665128,45.687827683855772,3260.135702117594519,660760.725281250546686
