OID_,SOURCE_ID,KEPADATAN,Shape_Length,Shape_Area,GiZScore,GiPValue,NNeighbors,Gi_Bin
1,1,60504.000000000000000,2593.777072733740169,353146.446460016130004,4.994636317999444,0.000000589467430,30,3
2,2,24527.000000000000000,2405.312827081334945,365613.045392952975817,5.967735168615400,0.000000002405694,28,3
3,3,54465.000000000000000,3645.967517071846942,528012.883931374177337,4.123499053793834,0.000037315999369,24,3
4,4,42993.000000000000000,5140.281409521427122,963937.925576655659825,3.965008112581506,0.000073393450938,22,3
5,5,8971.000000000000000,6359.437338283782992,1740570.101908612297848,4.125756631721959,0.000036951786788,30,3
6,6,71628.000000000000000,3208.680063742304810,460837.364984127925709,3.208387361002672,0.001334815838481,31,3
7,7,27463.000000000000000,5031.695750275387581,1292844.173286977224052,2.675531593956115,0.007461084053283,25,3
8,8,19144.000000000000000,4161.668489418341778,1127351.763423362746835,5.278709859498986,0.000000130096610,32,3
9,9,10594.000000000000000,5587.516632286644381,806673.995318299741484,3.767792030455974,0.000164697819746,29,3
10,10,34418.000000000000000,3260.135702117594519,660760.725281250546686,3.896946104342760,0.000097413286662,31,3
11,11,13512.000000000000000,6704.591902327611933,2175879.841898969374597,4.774936852731253,0.000001797636528,19,3
12,12,21803.000000000000000,5596.292492088554354,1229492.983198601286858,4.865186628582543,0.000001143488552,23,3
13,13,12985.000000000000000,7681.402087828800177,2419552.600754403974861,-0.109616121784835,0.912713824386610,26,0
14,14,13044.000000000000000,4077.575048664672067,789007.615846705157310,2.590496397769741,0.009583762457328,29,3
15,15,48691.000000000000000,4759.343477887449808,883160.177293016109616,0.217090411996020,0.828137886068493,18,0
16,16,32685.000000000000000,4709.583563366258204,1250528.009545868495479,-1.362843497014744,0.172931839309754,24,0
17,17,94196.000000000000000,2670.708982813179318,287059.846611556888092,4.984055845235339,0.000000622650957,28,3
18,18,36802.000000000000000,6602.686486727027841,2318839.431720546912402,1.091752923790019,0.274941733042179,10,0
19,19,1325.000000000000000,17216.481511592966854,11107915.320855259895325,-1.409351709511503,0.158731195688604,2,0
20,20,7177.000000000000000,25840.271286952443916,7268151.211291843093932,-1.083703658020870,0.278496229851973,4,0
21,21,47005.000000000000000,5470.371244789178490,1574959.728502466576174,1.091752923790019,0.274941733042179,10,0
22,22,16033.000000000000000,8610.923148769694308,3026111.314688823651522,-0.584391045760731,0.558957252633503,8,0
23,23,15943.000000000000000,9347.232553361247483,2321365.959235541522503,-0.071672842584265,0.942862269042054,11,0
24,24,36888.000000000000000,5662.868185259433631,1727875.073992872145027,1.063367641664277,0.287615276886784,10,0
25,25,52152.000000000000000,4305.721531274255540,1071450.348061982309446,0.458641977161342,0.646491288600298,8,0
26,26,13682.000000000000000,7365.015811877056876,2574462.778387915808707,1.140440438394454,0.254102872777199,8,0
27,27,26085.000000000000000,6022.208492674520130,1859126.231833663303405,0.365089354933211,0.715044707565138,9,0
28,28,29064.000000000000000,5589.573365169735553,1815675.276511959964409,1.136128985887057,0.255902604450297,11,0
29,29,7505.000000000000000,19775.124063668197778,7002352.262127542868257,-0.984248890423505,0.324993165316717,5,0
30,30,20986.000000000000000,6816.550851831638283,2277814.613690710626543,2.027762971961255,0.042584445170003,12,2
31,31,34416.000000000000000,11901.089851055157851,2483949.340677135158330,0.212174702425259,0.831970742111408,7,0
32,32,4726.000000000000000,15493.994866149778318,10358338.832905974239111,-1.500747639116230,0.133420846263423,2,0
33,33,26223.000000000000000,10460.699067114252102,3265444.526529247872531,0.303292962160440,0.761666609570901,9,0
34,34,15499.000000000000000,7843.982805083725907,2876363.584440331906080,2.058653498611471,0.039527443861508,17,2
35,35,60208.000000000000000,5930.643725744514995,1536175.167534498963505,0.714950263508748,0.474639782006534,16,0
36,36,3774.000000000000000,27078.225502731227607,7792419.871648214757442,0.052630580707183,0.958026250846745,8,0
37,37,12542.000000000000000,8696.427012048845427,3154623.633075512479991,-1.757602192022557,0.078815220123026,6,-1
38,38,20786.000000000000000,10170.866393919171969,3835801.459741593338549,-0.686187405105128,0.492594943688345,4,0
39,39,16637.000000000000000,3096.123252028795832,546692.182392768329009,5.779457523513732,0.000000007494187,28,3
40,40,27282.000000000000000,15658.705370115005280,6071488.289280157536268,-0.718470792416036,0.472467055990591,5,0
41,41,26691.000000000000000,13524.802515633315124,3707377.228471827693284,0.007781646595234,0.993791206984680,4,0
42,42,15611.000000000000000,6092.341819774561372,1304870.883775193244219,2.290554351069091,0.021989201683740,20,2
43,43,22916.000000000000000,5866.782572796235399,1582595.649694000370800,4.414814344765291,0.000010109671491,19,3
44,44,75883.000000000000000,2616.184454379255385,328260.634402792551555,5.091629722394920,0.000000354998864,30,3
45,45,30871.000000000000000,5269.271247856412629,1517777.712978598894551,-0.702431011976461,0.482410415840720,10,0
46,46,34026.000000000000000,4866.726927741943655,1347540.146720956312492,-0.348762652431328,0.727267504626065,13,0
47,47,21185.000000000000000,6279.082908598798895,1345886.544414409901947,-0.175511846206618,0.860677463405038,8,0
48,48,19679.000000000000000,8850.462956899893470,3659159.205968348309398,-0.970684153585788,0.331705597653185,11,0
49,49,18856.000000000000000,8768.527989707894449,2902432.548758671618998,-1.055078360343245,0.291389503530491,9,0
50,50,15207.000000000000000,8781.686805523304429,2556965.216797574888915,-1.665838523918429,0.095745580824742,9,-1
51,51,11852.000000000000000,11612.102709232991401,7496768.046890106983483,-0.975353879444096,0.329384765303760,4,0
52,52,34839.000000000000000,6645.667116433430238,2196396.335524791385978,0.658184898231972,0.510419331725540,14,0
53,53,45146.000000000000000,4184.024565506564613,584981.717255699099042,0.686704127482491,0.492269200124423,20,0
54,54,34665.000000000000000,3897.318288824942101,758697.203513797605410,3.429808391166346,0.000604007615402,21,3
55,55,15699.000000000000000,12842.323098371047308,4190843.572049715090543,-1.551796624812035,0.120710893804443,8,0
56,56,12393.000000000000000,11823.340687830184834,4216687.684528105892241,-1.889965732790004,0.058762543202622,7,-1
57,57,11962.000000000000000,10885.490017737045491,4537635.079535554163158,-0.966092240793919,0.333998039001079,10,0
58,58,33936.000000000000000,6098.017031566800142,1267066.098300906596705,1.862847820721706,0.062483679808923,20,1
59,59,49780.000000000000000,3571.842510335562110,562124.686216776608489,1.492093745321682,0.135674571346702,26,0
60,60,5340.000000000000000,3486.112524697159643,672435.067256996175274,-1.369878847544539,0.170724723665443,24,0
61,61,3572.000000000000000,4414.530479360762911,906405.347842564107850,-2.738592397929650,0.006170281930500,19,-3
62,62,11070.000000000000000,6355.577522594237962,1740433.678573426092044,-1.518463247964844,0.128897657696474,20,0
63,63,31903.000000000000000,5925.792454154127881,1056944.986727977404371,-0.367179721714644,0.713484965015137,23,0
64,64,41799.000000000000000,4523.341460243469555,779822.360340244485997,0.318164760420241,0.750359962507375,24,0
65,65,8583.000000000000000,3441.481987003174254,550564.175507415202446,-0.566304661303660,0.571186694930600,25,0
66,66,3267.000000000000000,6150.857731480405164,2211173.481321290601045,-1.794869658574347,0.072674469124331,22,-1
67,67,28682.000000000000000,4350.866731437236012,780594.175769355613738,-2.293833645838421,0.021800055994770,18,-2
68,68,8210.000000000000000,8690.286068440522286,3161327.255408013239503,-1.225397681042847,0.220425443293144,12,0
69,69,10224.000000000000000,12355.550430746299753,4664573.810745279304683,-1.528978137158650,0.126269863901305,6,0
70,70,24362.000000000000000,15245.109301366825093,2886262.673409999813884,-0.550917454419158,0.581690264163935,12,0
71,71,14984.000000000000000,10572.382868688688177,2987770.860473304055631,-0.945951837272267,0.344173163625719,11,0
72,72,19709.000000000000000,7396.993161580629021,2720076.415762224700302,-1.639999381274484,0.101005295591912,9,0
73,73,26403.000000000000000,9420.855569194482086,1962372.700233778450638,-1.069888390785485,0.284669565324957,13,0
74,74,25711.000000000000000,7097.739686317037922,1869818.485811791848391,-0.688985378762082,0.490832473427330,12,0
75,75,17122.000000000000000,10171.583914980605186,3118363.599096770398319,-1.183561009859142,0.236586903378917,13,0
76,76,2355.000000000000000,6165.972811992549396,1430671.709601896815002,-3.473940999116430,0.000512873795943,19,-3
77,77,15708.000000000000000,10177.506717370133629,3447236.815001999493688,-1.556156251888133,0.119670941445876,4,0
78,78,16501.000000000000000,6396.098813064400929,1599795.029347555711865,-1.408042280272208,0.159118550745598,9,0
79,79,13415.000000000000000,6813.655400107028981,2378227.268515803851187,-1.594292252565906,0.110870592126159,8,0
80,80,6052.000000000000000,6204.788151026081323,1106708.543306011473760,-2.115386286530410,0.034397037628655,15,-2
81,81,30709.000000000000000,6048.040147911787244,1548432.077671112259850,-1.747541891685998,0.080543384896142,12,-1
82,82,21279.000000000000000,6211.681440495151037,2096015.619052710477263,-0.128196628857068,0.897993367865515,6,0
83,83,21774.000000000000000,10422.209435396816843,2345495.909936181735247,-0.611853276105531,0.540634840786079,14,0
84,84,16423.000000000000000,7473.430166534079945,1484853.973611720371991,-0.338860124128098,0.734715105950616,18,0
85,85,20548.000000000000000,14140.110639239206648,3153384.849225522018969,-1.253523376635711,0.210015321540604,8,0
86,86,14284.000000000000000,12816.427393230045709,5184626.335635861381888,-1.086183315142446,0.277397914279900,5,0
87,87,11002.000000000000000,9357.863929622120850,4050750.697130646556616,-1.250747283569285,0.211026717805104,3,0
88,88,14246.000000000000000,13392.000943686325627,4416284.525733141228557,-0.995261703138703,0.319609011913388,4,0
89,89,47859.000000000000000,3667.477380908774194,802428.865252827876247,3.284437326520360,0.001021862228159,25,3
90,90,25914.000000000000000,5340.561509539753388,769794.205622656969354,2.994111512392041,0.002752453266750,24,3
91,91,35571.000000000000000,4736.340016935631866,1134254.596320641227067,3.476397959405156,0.000508197575488,22,3
92,92,22880.000000000000000,7606.523300605839722,1304535.014113147044554,-0.434343754095338,0.664038836558320,9,0
93,93,18976.000000000000000,6370.976289212151642,2068159.362872812664136,-0.764177639266775,0.444761396321800,9,0
94,94,24792.000000000000000,9426.509567702461936,2710091.061387138441205,1.434457101270857,0.151441862693581,12,0
95,95,25346.000000000000000,7700.206616585828669,1698749.384010099805892,2.073329566751030,0.038141618873989,16,2
96,96,54100.000000000000000,5213.473973695548921,1093926.390060213627294,3.154301335040026,0.001608828731253,18,3
97,97,25907.000000000000000,8230.834262063521237,2083614.964924417901784,-0.550887098087855,0.581711074859715,11,0
98,98,17863.000000000000000,7624.410337656087904,1695269.484058423200622,-0.757784945409936,0.448579742461829,11,0
99,99,20722.000000000000000,10753.227976787346051,1687282.921987502835691,-0.604208150541910,0.545705265976942,14,0
100,100,28113.000000000000000,8401.887797505476556,1742470.255154806887731,0.020565464450865,0.983592290010370,11,0
101,101,19939.000000000000000,10247.482490617965595,2153483.474433002527803,-0.853476393680550,0.393395181773887,6,0
102,102,17819.000000000000000,9310.925623080831429,4111956.543425994459540,-0.185601468850284,0.852757301696653,7,0
103,103,28695.000000000000000,9213.187419325584415,2994869.173856133595109,-0.146486202710109,0.883537581111157,8,0
104,104,21797.000000000000000,6560.369747358216046,1964068.670216254191473,-0.049231494594313,0.960734812630722,6,0
105,105,14466.000000000000000,8331.266368136433812,2278597.547312342561781,-0.633882375016006,0.526157592401564,8,0
106,106,27727.000000000000000,8296.877897434038459,2061616.822530299192294,-0.097504787128757,0.922325532775581,11,0
107,107,22119.000000000000000,9446.996485738933188,3527387.948746294714510,-1.369930111556590,0.170708719028445,8,0
108,108,10721.000000000000000,9711.273983421933735,2914979.469681956339628,-2.076256979606737,0.037870189874865,8,-2
109,109,43687.000000000000000,3314.587449839693363,592464.781460122321732,4.292478529225924,0.000017668964080,29,3
110,110,68902.000000000000000,3435.094563362372355,538590.708073250600137,4.270166029847756,0.000019532750586,24,3
111,111,26838.000000000000000,6214.651099965474714,1854092.172513355035335,2.683075883115779,0.007294843610367,19,3
112,112,33823.000000000000000,5721.043946373983090,1273636.090444300323725,1.259469948143972,0.207860662991093,10,0
113,113,22916.000000000000000,4558.560231033391574,1307492.097468298627064,2.316179008627099,0.020548496825709,18,2
114,114,32326.000000000000000,5501.836327630902815,1429767.254679478239268,4.786596013486194,0.000001696338053,19,3
115,115,37190.000000000000000,5665.664477615046053,996298.595299792592414,3.882107496297312,0.000103555079000,24,3
116,116,45901.000000000000000,3620.366596106591714,813915.218460140749812,3.576812840165200,0.000347809010517,20,3
117,117,15376.000000000000000,6980.523218956306664,1553944.136615398339927,4.777052050389558,0.000001778837408,28,3
118,118,24918.000000000000000,5072.023392113074806,1144224.142750702565536,3.703857995501347,0.000212345156540,17,3
119,119,16184.000000000000000,3772.309594732484129,785575.247039164532907,3.821709429054658,0.000132529794200,33,3
120,120,36500.000000000000000,4057.832017576563885,684152.824606963433325,5.303582733850026,0.000000113551705,34,3
121,121,49718.000000000000000,3303.512043999841353,562225.750251498888247,2.158100813308423,0.030919994546838,28,2
122,122,15709.000000000000000,6362.386672931467729,1301528.263591265073046,2.025080326272588,0.042859116717942,26,2
123,123,1208.000000000000000,7733.395313356119004,2527182.142279361374676,2.030645107227363,0.042291008476896,30,2
124,124,15157.000000000000000,6033.181531911062848,1253463.554246288491413,4.236857740870989,0.000022666964776,30,3
125,125,16005.000000000000000,4547.632298283338059,1135946.425385176436976,3.456250972606377,0.000547745068361,30,3
126,126,12796.000000000000000,5661.649936306759628,894886.927337933680974,3.407335848360060,0.000656003540758,29,3
127,127,35007.000000000000000,3945.584930185268149,837642.913052264251746,4.487608493499327,0.000007202713445,29,3
128,128,50894.000000000000000,3929.558464590776111,706164.770110891549848,4.039353042834306,0.000053598837631,28,3
129,129,42463.000000000000000,3050.208351089592270,449449.076416732161306,2.926871373484028,0.003423904537442,27,3
130,130,35280.000000000000000,5573.692787468423376,1251729.850183048984036,5.495249612539268,0.000000039015816,26,3
131,131,30263.000000000000000,5401.430539237048833,955678.357634157175198,3.603383034246860,0.000314102127152,29,3
132,132,3320.000000000000000,5599.656604523851456,1475940.311075160047039,0.089998232010656,0.928288619784341,23,0
133,133,17981.000000000000000,5569.129987996903765,863355.161211176542565,0.688007415770210,0.491448116137572,26,0
134,134,1185.000000000000000,8686.819972529676306,3338726.136308042798191,-1.927131812729798,0.053963205023101,17,-1
135,135,16935.000000000000000,6387.761676709434141,1584469.404124525841326,-1.211634275802889,0.225652430366234,21,0
136,136,15721.000000000000000,5216.820474288491823,1529170.789699384709820,-1.216073351583192,0.223957003468449,20,0
137,137,36778.000000000000000,4021.304641021230509,734369.830585741787218,-0.469630375681050,0.638619120387483,23,0
138,138,21349.000000000000000,3687.958018988693311,689515.908220610115677,-0.278752061723964,0.780435106213116,25,0
139,139,39495.000000000000000,4394.465311725753963,1171003.388035245239735,5.338115501433998,0.000000093917625,25,3
140,140,81435.000000000000000,2348.839204343602432,282749.559252206876408,4.340726257722843,0.000014201255356,25,3
141,141,76331.000000000000000,3713.281118261485517,624589.455344439717010,4.054583160746346,0.000050223781194,28,3
142,142,23723.000000000000000,16903.031410543775564,4521932.757327208295465,0.803780120631640,0.421523979909913,9,0
143,143,4697.000000000000000,13862.089879668797948,9047584.333072025328875,-0.975201445878288,0.329460357585456,4,0
144,144,24251.000000000000000,10455.023775555308021,3683039.426168598700315,3.316166732950034,0.000912613632947,15,3
145,145,11602.000000000000000,22259.994526759484870,3658636.262581649702042,0.305568653128590,0.759933091143608,7,0
146,146,14878.000000000000000,10171.218586686816707,5154572.540869776159525,-0.539480784912365,0.589555154360186,11,0
147,147,16395.000000000000000,11111.860951546581418,5257640.533831217326224,0.066579804724487,0.946916223559470,12,0
148,148,11855.000000000000000,9753.889975109710576,5812214.039972332306206,-0.888816849270124,0.374101528686557,5,0
149,149,4613.000000000000000,15312.591674726534620,7506740.530136393383145,-1.528106289096592,0.126486150248036,2,0
150,150,10461.000000000000000,9241.262697669511908,4245432.166312962770462,0.482783603017730,0.629249396158460,6,0
151,151,28948.000000000000000,3241.568999728228846,598074.818221168126911,3.991403847379775,0.000065683318906,33,3
152,152,38926.000000000000000,3246.477496485555548,605088.217212385265157,4.700266068094711,0.000002598227412,33,3
153,153,10645.000000000000000,13515.299016174472854,5524076.242916449904442,-1.925130444434817,0.054213041075045,7,-1
154,154,5627.000000000000000,12465.703653267344635,7426971.098269660957158,-1.109915963827386,0.267035258486956,8,0
155,155,15854.000000000000000,13387.788254415141637,5303542.782004071399570,-1.176943475666790,0.239218088579056,5,0
156,156,20891.000000000000000,10315.330664993429309,3710530.671079156454653,-0.978822600909771,0.327667653129396,8,0
157,157,13385.000000000000000,7920.599330114131590,3003817.086543320212513,-0.649541437757024,0.515988475587743,6,0
158,158,27578.000000000000000,4658.685080316482527,713987.651493084616959,4.610789600606677,0.000004011423809,33,3
159,159,40700.000000000000000,2556.028664968173871,388532.030416382767726,3.851466232312195,0.000117412721951,30,3
160,160,19338.000000000000000,4829.785867565696208,1063077.705243974691257,5.103222205897791,0.000000333918536,27,3
161,161,19174.000000000000000,5415.091895787226349,1861151.730992609169334,4.202878090626507,0.000026354253924,25,3
162,162,13222.000000000000000,5518.804874193875548,982444.786609944188967,5.155055781563540,0.000000253555439,25,3
163,163,43784.000000000000000,2306.845976994601642,289184.788091480731964,5.644582307062770,0.000000016558275,29,3
164,164,95971.000000000000000,2344.320031430789186,311436.964345103828236,4.534303158305782,0.000005779397076,32,3
165,165,65743.000000000000000,2521.409117367930776,368400.178900237835478,5.176229003479455,0.000000226415524,30,3
166,166,55438.000000000000000,3804.888506372414668,575181.365658142953180,5.370015895859559,0.000000078729702,32,3
167,167,70490.000000000000000,2970.598490531231164,522679.144286056514829,4.522906262292606,0.000006099625802,28,3
168,168,45786.000000000000000,3762.874634841536135,786691.305927092558704,4.856263850410938,0.000001196212864,24,3
169,169,52395.000000000000000,2792.235500307989241,488649.993870981212240,5.002470003468632,0.000000566003912,27,3
170,170,35993.000000000000000,3440.113695653058585,779049.221425384166650,5.248544723976883,0.000000153305425,25,3
171,171,7471.000000000000000,3297.457617879339523,529858.316641715937294,5.341621131680412,0.000000092119028,23,3
172,172,45199.000000000000000,2435.318868609967467,382672.109943655435927,5.110749499758097,0.000000320883227,33,3
173,173,31669.000000000000000,5515.976011021353770,1520468.008050354896113,1.355220387174966,0.175347351110266,15,0
174,174,16986.000000000000000,9093.403978899368667,3822580.816697636619210,-0.381488437218528,0.702840850312224,11,0
175,175,17206.000000000000000,10427.495561986812390,5041404.426775194704533,-0.908073085395005,0.363839619593559,3,0
176,176,16643.000000000000000,9710.596744017300807,5161695.614218155853450,-0.767461771840872,0.442807020105546,3,0
177,177,13558.000000000000000,15413.005478047207362,7417481.159448295831680,-1.387260066791532,0.165362475196574,5,0
178,178,20946.000000000000000,8149.995091387202592,2947037.770341173280030,-0.566645161215294,0.570955288274820,2,0
179,179,20655.000000000000000,4191.066368468023938,979126.851964292000048,0.744347191807439,0.456666463904457,17,0
180,180,45744.000000000000000,4561.181411381815451,680113.067549716331996,1.965866617892322,0.049314020044631,22,2
181,181,42917.000000000000000,4536.183660097289248,824052.195882105384953,2.885342142783147,0.003909884867768,24,3
182,182,18585.000000000000000,7315.751937714282576,2096841.218780389288440,1.114761979866001,0.264952451040144,18,0
183,183,12227.000000000000000,10449.266649380941089,3020407.697212530765682,-1.632357491729858,0.102604198457676,6,0
184,184,15500.000000000000000,6187.371530957444520,1631670.040729361586273,0.929375105998927,0.352694735266179,23,0
185,185,10842.000000000000000,11578.236661716327944,4453716.865572876296937,-1.326498297674693,0.184674698638236,5,0
186,186,7078.000000000000000,14633.335000159688207,4510250.938941293396056,-1.566807364272967,0.117159725533330,7,0
187,187,16179.000000000000000,5414.481715644954420,1322460.542899390915409,1.232861064518705,0.217627627456031,21,0
188,188,23586.000000000000000,5930.647109482218184,1668775.646118183620274,1.867188677109055,0.061875244258947,17,1
189,189,17610.000000000000000,7195.694076612229765,2507735.368906451854855,0.446468923070770,0.655258557424146,23,0
190,190,38756.000000000000000,5779.206467174145473,1077032.707088079769164,3.150469910538572,0.001630080465469,24,3
191,191,32711.000000000000000,4568.671774666950114,1068551.590286052320153,1.630959077231958,0.102898954717329,27,0
192,192,12526.000000000000000,5610.156540150805995,927111.880870094755664,-1.687975659208851,0.091415901516686,22,-1
193,193,17682.000000000000000,7928.512018763615743,2566983.880214390344918,-1.400669934699779,0.161312797286660,10,0
194,194,27028.000000000000000,6960.388258568505989,1956378.883983617648482,-2.538487936360615,0.011133264112932,18,-2
195,195,37862.000000000000000,4489.977204401039671,1043253.355250074644573,-1.327098545877917,0.184476086300311,16,0
196,196,15984.000000000000000,5657.918620724673929,976353.364857916603796,-2.255951172529874,0.024073689216489,17,-2
197,197,15773.000000000000000,8344.886490745349874,1892778.471480646636337,-1.183966351295833,0.236426404000173,10,0
198,198,8060.000000000000000,11476.359430246811826,3840380.943359902128577,-1.661684862468235,0.096575977853042,7,-1
199,199,9860.000000000000000,13610.245729582655258,6788792.144033100455999,-1.247265142767527,0.212300318154166,7,0
200,200,15720.000000000000000,8121.967918170546000,3299608.158233310095966,-1.360926671786095,0.173536863751313,12,0
201,201,21235.000000000000000,10430.618202663510601,2333242.287505563814193,-1.673678117701626,0.094193876609214,14,-1
202,202,10458.000000000000000,11528.370403038599761,5869836.549856695346534,-2.095201860691285,0.036153051949286,8,-2
203,203,10125.000000000000000,13334.667375128696222,4346625.626688959077001,-1.501280168197027,0.133283112192917,4,0
204,204,2452.000000000000000,4709.527831123497890,1278871.589065948268399,-2.301644333895429,0.021355237807136,15,-2
205,205,7785.000000000000000,5323.975622050880702,1419545.076904003042728,-2.315928874075831,0.020562152494170,16,-2
206,206,13800.000000000000000,5955.991326176166694,1257994.700520133133978,-2.056815337191502,0.039703992208276,16,-2
207,207,2335.000000000000000,5599.007969458284606,1431021.374833803158253,-3.259874461119298,0.001114615372260,17,-3
