OID_,OBJECT_ID,KODE_DESA,DESA,KODE,PROVINSI,KAB_KOTA,KECAMATAN,DESA_KELUR,JUMLAH_PEN,JUMLAH_KK,LUAS_WILAY,KEPADATAN,Shape_Length,Shape_Area,Point_Count
1,25477.000000000000000,3173031006,KEAGUNGAN,317303.000000000000000,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,21609.000000000000000,7255.000000000000000,0.360000000000000,60504.000000000000000,2593.777072733740169,353146.446460016130004,0
2,25478.000000000000000,3173031007,GLODOK,317303.000000000000000,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,9069.000000000000000,3273.000000000000000,0.370000000000000,24527.000000000000000,2405.312827081334945,365613.045392952975817,0
3,25397.000000000000000,3171031003,HARAPAN MULIA,317103.000000000000000,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29085.000000000000000,9217.000000000000000,0.530000000000000,54465.000000000000000,3645.967517071846942,528012.883931374177337,2
4,25400.000000000000000,3171031006,CEMPAKA BARU,317103.000000000000000,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,41913.000000000000000,13766.000000000000000,0.970000000000000,42993.000000000000000,5140.281409521427122,963937.925576655659825,1
5,25390.000000000000000,3171021001,PASAR BARU,317102.000000000000000,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15793.000000000000000,5599.000000000000000,1.760000000000000,8971.000000000000000,6359.437338283782992,1740570.101908612297848,2
6,25391.000000000000000,3171021002,KARANG ANYAR,317102.000000000000000,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,33383.000000000000000,11276.000000000000000,0.470000000000000,71628.000000000000000,3208.680063742304810,460837.364984127925709,0
7,25394.000000000000000,3171021005,MANGGA DUA SELATAN,317102.000000000000000,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,35906.000000000000000,12817.000000000000000,1.310000000000000,27463.000000000000000,5031.695750275387581,1292844.173286977224052,0
8,25386.000000000000000,3171011003,PETOJO UTARA,317101.000000000000000,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,21828.000000000000000,7328.000000000000000,1.140000000000000,19144.000000000000000,4161.668489418341778,1127351.763423362746835,0
9,25403.000000000000000,3171041001,SENEN,317104.000000000000000,DKI JAKARTA,JAKARTA PUSAT,SENEN,SENEN,8643.000000000000000,3049.000000000000000,0.820000000000000,10594.000000000000000,5587.516632286644381,806673.995318299741484,5
10,25408.000000000000000,3171041006,BUNGUR,317104.000000000000000,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,23001.000000000000000,7944.000000000000000,0.670000000000000,34418.000000000000000,3260.135702117594519,660760.725281250546686,0
11,25409.000000000000000,3171051001,CEMPAKA PUTIH TIMUR,317105.000000000000000,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,29735.000000000000000,9812.000000000000000,2.200000000000000,13512.000000000000000,6704.591902327611933,2175879.841898969374597,3
12,25411.000000000000000,3171051003,RAWASARI,317105.000000000000000,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,27113.000000000000000,9244.000000000000000,1.240000000000000,21803.000000000000000,5596.292492088554354,1229492.983198601286858,0
13,25412.000000000000000,3171061001,MENTENG,317106.000000000000000,DKI JAKARTA,JAKARTA PUSAT,MENTENG,MENTENG,31780.000000000000000,10407.000000000000000,2.450000000000000,12985.000000000000000,7681.402087828800177,2419552.600754403974861,2
14,25414.000000000000000,3171061003,CIKINI,317106.000000000000000,DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,10410.000000000000000,3589.000000000000000,0.800000000000000,13044.000000000000000,4077.575048664672067,789007.615846705157310,0
15,25420.000000000000000,3171071004,PETAMBURAN,317107.000000000000000,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,43497.000000000000000,14074.000000000000000,0.890000000000000,48691.000000000000000,4759.343477887449808,883160.177293016109616,1
16,25421.000000000000000,3171071005,KEBON MELATI,317107.000000000000000,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,41344.000000000000000,14045.000000000000000,1.260000000000000,32685.000000000000000,4709.583563366258204,1250528.009545868495479,0
17,25425.000000000000000,3171081002,KAMPUNG RAWA,317108.000000000000000,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,27348.000000000000000,8426.000000000000000,0.290000000000000,94196.000000000000000,2670.708982813179318,287059.846611556888092,0
18,25441.000000000000000,3172031002,TUGU UTARA,317203.000000000000000,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,86287.000000000000000,27656.000000000000000,2.340000000000000,36802.000000000000000,6602.686486727027841,2318839.431720546912402,0
19,25429.000000000000000,3172011002,KAMAL MUARA,317201.000000000000000,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,15051.000000000000000,4763.000000000000000,11.359999999999999,1325.000000000000000,17216.481511592966854,11107915.320855259895325,0
20,25432.000000000000000,3172011005,PLUIT,317201.000000000000000,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,55885.000000000000000,18463.000000000000000,7.790000000000000,7177.000000000000000,25840.271286952443916,7268151.211291843093932,2
21,25442.000000000000000,3172031003,LAGOA,317203.000000000000000,DKI JAKARTA,JAKARTA UTARA,KOJA,LAGOA,74851.000000000000000,24071.000000000000000,1.590000000000000,47005.000000000000000,5470.371244789178490,1574959.728502466576174,0
22,25435.000000000000000,3172021003,PAPANGGO,317202.000000000000000,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,49062.000000000000000,15724.000000000000000,3.060000000000000,16033.000000000000000,8610.923148769694308,3026111.314688823651522,0
23,25436.000000000000000,3172021004,SUNGAI BAMBU,317202.000000000000000,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,37423.000000000000000,12456.000000000000000,2.350000000000000,15943.000000000000000,9347.232553361247483,2321365.959235541522503,0
24,25437.000000000000000,3172021005,KEBON BAWANG,317202.000000000000000,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,64447.000000000000000,21229.000000000000000,1.750000000000000,36888.000000000000000,5662.868185259433631,1727875.073992872145027,1
25,25439.000000000000000,3172021007,WARAKAS,317202.000000000000000,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,56502.000000000000000,18648.000000000000000,1.080000000000000,52152.000000000000000,4305.721531274255540,1071450.348061982309446,0
26,25440.000000000000000,3172031001,KOJA,317203.000000000000000,DKI JAKARTA,JAKARTA UTARA,KOJA,KOJA,35891.000000000000000,12202.000000000000000,2.620000000000000,13682.000000000000000,7365.015811877056876,2574462.778387915808707,0
27,25444.000000000000000,3172031005,TUGU SELATAN,317203.000000000000000,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU SELATAN,49037.000000000000000,15177.000000000000000,1.880000000000000,26085.000000000000000,6022.208492674520130,1859126.231833663303405,0
28,25445.000000000000000,3172031006,RAWA BADAK SELATAN,317203.000000000000000,DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,53360.000000000000000,17123.000000000000000,1.840000000000000,29064.000000000000000,5589.573365169735553,1815675.276511959964409,0
29,25446.000000000000000,3172041001,CILINCING,317204.000000000000000,DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,55102.000000000000000,17275.000000000000000,7.340000000000000,7505.000000000000000,19775.124063668197778,7002352.262127542868257,0
30,25471.000000000000000,3173021007,WIJAYA KUSUMA,317302.000000000000000,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,48348.000000000000000,15730.000000000000000,2.300000000000000,20986.000000000000000,6816.550851831638283,2277814.613690710626543,1
31,25449.000000000000000,3172041004,KALIBARU,317204.000000000000000,DKI JAKARTA,JAKARTA UTARA,CILINCING,KALIBARU,86964.000000000000000,28183.000000000000000,2.530000000000000,34416.000000000000000,11901.089851055157851,2483949.340677135158330,0
32,25451.000000000000000,3172041006,ROROTAN,317204.000000000000000,DKI JAKARTA,JAKARTA UTARA,CILINCING,ROROTAN,50167.000000000000000,15002.000000000000000,10.609999999999999,4726.000000000000000,15493.994866149778318,10358338.832905974239111,0
33,25452.000000000000000,3172041007,SEMPER BARAT,317204.000000000000000,DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER BARAT,86583.000000000000000,28354.000000000000000,3.300000000000000,26223.000000000000000,10460.699067114252102,3265444.526529247872531,0
34,25453.000000000000000,3172051001,PADEMANGAN TIMUR,317205.000000000000000,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,45083.000000000000000,14915.000000000000000,2.910000000000000,15499.000000000000000,7843.982805083725907,2876363.584440331906080,1
35,25454.000000000000000,3172051002,PADEMANGAN BARAT,317205.000000000000000,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,93530.000000000000000,31530.000000000000000,1.550000000000000,60208.000000000000000,5930.643725744514995,1536175.167534498963505,2
36,25455.000000000000000,3172051003,ANCOL,317205.000000000000000,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,29886.000000000000000,10266.000000000000000,7.920000000000000,3774.000000000000000,27078.225502731227607,7792419.871648214757442,2
37,25456.000000000000000,3172061001,KELAPA GADING TIMUR,317206.000000000000000,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,40012.000000000000000,13327.000000000000000,3.190000000000000,12542.000000000000000,8696.427012048845427,3154623.633075512479991,0
38,25459.000000000000000,3173011001,CENGKARENG BARAT,317301.000000000000000,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,80638.000000000000000,25160.000000000000000,3.880000000000000,20786.000000000000000,10170.866393919171969,3835801.459741593338549,2
39,25476.000000000000000,3173031005,MANGGA BESAR,317303.000000000000000,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,9198.000000000000000,3226.000000000000000,0.550000000000000,16637.000000000000000,3096.123252028795832,546692.182392768329009,2
40,25463.000000000000000,3173011005,KAPUK,317301.000000000000000,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,167523.000000000000000,53227.000000000000000,6.140000000000000,27282.000000000000000,15658.705370115005280,6071488.289280157536268,0
41,25464.000000000000000,3173011006,CENGKARENG TIMUR,317301.000000000000000,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,100081.000000000000000,32211.000000000000000,3.750000000000000,26691.000000000000000,13524.802515633315124,3707377.228471827693284,2
42,25466.000000000000000,3173021002,TANJUNG DUREN UTARA,317302.000000000000000,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,20603.000000000000000,7041.000000000000000,1.320000000000000,15611.000000000000000,6092.341819774561372,1304870.883775193244219,0
43,25468.000000000000000,3173021004,JELAMBAR,317302.000000000000000,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,36680.000000000000000,12027.000000000000000,1.600000000000000,22916.000000000000000,5866.782572796235399,1582595.649694000370800,2
44,25484.000000000000000,3173041005,KRENDANG,317304.000000000000000,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KRENDANG,25192.000000000000000,8313.000000000000000,0.330000000000000,75883.000000000000000,2616.184454379255385,328260.634402792551555,0
45,25492.000000000000000,3173051002,SUKABUMI UTARA,317305.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,47398.000000000000000,14415.000000000000000,1.540000000000000,30871.000000000000000,5269.271247856412629,1517777.712978598894551,1
46,25493.000000000000000,3173051003,SUKABUMI SELATAN,317305.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,46386.000000000000000,14048.000000000000000,1.360000000000000,34026.000000000000000,4866.726927741943655,1347540.146720956312492,1
47,25494.000000000000000,3173051004,KELAPA DUA,317305.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,28843.000000000000000,8701.000000000000000,1.360000000000000,21185.000000000000000,6279.082908598798895,1345886.544414409901947,1
48,25495.000000000000000,3173051005,DURI KEPA,317305.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,72834.000000000000000,23494.000000000000000,3.700000000000000,19679.000000000000000,8850.462956899893470,3659159.205968348309398,0
49,25496.000000000000000,3173051006,KEDOYA UTARA,317305.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,55356.000000000000000,17461.000000000000000,2.940000000000000,18856.000000000000000,8768.527989707894449,2902432.548758671618998,2
50,25497.000000000000000,3173051007,KEDOYA SELATAN,317305.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,39331.000000000000000,12306.000000000000000,2.590000000000000,15207.000000000000000,8781.686805523304429,2556965.216797574888915,1
51,25502.000000000000000,3173061005,PEGADUNGAN,317306.000000000000000,DKI JAKARTA,JAKARTA BARAT,KALIDERES,PEGADUNGAN,89881.000000000000000,28034.000000000000000,7.580000000000000,11852.000000000000000,11612.102709232991401,7496768.046890106983483,0
52,25503.000000000000000,3173071001,PALMERAH,317307.000000000000000,DKI JAKARTA,JAKARTA BARAT,PAL MERAH,PALMERAH,77404.000000000000000,24338.000000000000000,2.220000000000000,34839.000000000000000,6645.667116433430238,2196396.335524791385978,0
53,25508.000000000000000,3173071006,KOTA BAMBU SELATAN,317307.000000000000000,DKI JAKARTA,JAKARTA BARAT,PAL MERAH,KOTA BAMBU SELATAN,26713.000000000000000,8489.000000000000000,0.590000000000000,45146.000000000000000,4184.024565506564613,584981.717255699099042,0
54,25596.000000000000000,3175031004,RAWA BUNGA,317503.000000000000000,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,26604.000000000000000,8823.000000000000000,0.770000000000000,34665.000000000000000,3897.318288824942101,758697.203513797605410,0
55,25509.000000000000000,3173081001,KEMBANGAN UTARA,317308.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,66547.000000000000000,20664.000000000000000,4.240000000000000,15699.000000000000000,12842.323098371047308,4190843.572049715090543,0
56,25510.000000000000000,3173081002,MERUYA UTARA,317308.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,53207.000000000000000,17068.000000000000000,4.290000000000000,12393.000000000000000,11823.340687830184834,4216687.684528105892241,0
57,25512.000000000000000,3173081004,SRENGSENG,317308.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,54909.000000000000000,16881.000000000000000,4.590000000000000,11962.000000000000000,10885.490017737045491,4537635.079535554163158,0
58,25518.000000000000000,3174011004,KEBON BARU,317401.000000000000000,DKI JAKARTA,JAKARTA SELATAN,TEBET,KEBON BARU,43498.000000000000000,13886.000000000000000,1.280000000000000,33936.000000000000000,6098.017031566800142,1267066.098300906596705,0
59,25520.000000000000000,3174011006,MANGGARAI SELATAN,317401.000000000000000,DKI JAKARTA,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,28306.000000000000000,9343.000000000000000,0.570000000000000,49780.000000000000000,3571.842510335562110,562124.686216776608489,0
