OID_,ExpectedK,ObservedK,DiffK,LwConfEnv,HiConfEnv
1,50.000000000000000,195.168476798349673,145.168476798349673,0.000000000000000,127.767759742524277
2,250.000000000000000,454.728789619222596,204.728789619222596,147.533500962203647,338.041717850569228
3,450.000000000000000,691.993458015045121,241.993458015045121,368.833752405509074,566.613161791999914
4,650.000000000000000,997.898104120369567,347.898104120369567,556.926752960247654,718.989346424137125
5,850.000000000000000,1313.379652676079786,463.379652676079786,733.969900048750219,941.790824268428082
6,1050.000000000000000,1580.399906900902351,530.399906900902351,906.461005756845339,1116.293494618651039
7,1250.000000000000000,1817.418724526758297,567.418724526758297,1116.293494618651039,1302.980600270331934
8,1450.000000000000000,2058.872161700561719,608.872161700561719,1319.579748440071853,1482.693334618665858
9,1650.000000000000000,2312.796447472180262,662.796447472180262,1508.164776539418881,1695.030877480914796
10,1850.000000000000000,2544.685606727076902,694.685606727076902,1674.033972301244830,1882.136629798240619
