OID_,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_WalkTime,Total_Length,Shape_Length
1,5,1,Location 1 - 5,2,2,1,,,,,6.272770580572455,522.678621428617475,527.102818145380297
2,8,1,Location 2 - 8,1,2,2,,,,,9.263321191385741,771.866911591434700,779.463813509914530
3,165,1,Location 3 - 165,1,1,3,,,,,6.663114516782745,555.191432893748811,561.036056357034340
4,227,1,Location 4 - 227,2,1,4,,,,,6.309857096358363,525.754641188447977,529.862442925206778
5,83,1,Location 5 - 83,2,1,5,,,,,0.999156719976944,83.253914966526466,83.999628415587665
6,33,1,Location 6 - 33,2,1,6,,,,,16.515572989701258,1376.148232236960212,1389.080531970780839
7,67,1,Location 7 - 67,2,2,7,,,,,10.733970005968359,894.403208258597374,903.248784954200460
8,109,1,Location 8 - 109,1,1,8,,,,,8.568992609025990,714.011672773325586,721.592200533326150
9,205,1,Location 9 - 205,1,2,9,,,,,1.359578011622042,113.285389849534766,114.319806207118674
10,11,1,Location 10 - 11,2,2,10,,,,,6.779782963486323,564.914753329631480,568.619109960585320
11,161,1,Location 11 - 161,1,2,11,,,,,7.908311779957231,658.938784446915406,664.068933230527932
12,149,1,Location 12 - 149,2,2,12,,,,,7.298865405201854,608.161360087383969,613.725720189462777
13,20,1,Location 13 - 20,2,1,13,,,,,8.788242557934291,732.273346663936991,740.117463660208841
14,55,1,Location 14 - 55,2,1,14,,,,,15.656048069279626,1304.521351214815240,1315.901099049553522
15,229,1,Location 15 - 229,1,1,15,,,,,17.221910843635058,1435.025762958682208,1447.935496505271203
16,10,1,Location 16 - 10,1,2,16,,,,,17.728225158410918,1477.202794315192932,1488.928566898839563
17,248,1,Location 17 - 248,2,2,17,,,,,8.293933377738851,691.077225140393466,698.662751998123554
18,114,1,Location 18 - 114,1,2,18,,,,,32.671532020969821,2722.224041621124343,2742.705868003393789
19,113,1,Location 19 - 113,2,1,19,,,,,80.001494810729099,6666.313957582731746,6711.956101902183946
20,113,1,Location 20 - 113,1,1,20,,,,,10.938820659311563,911.491802995829630,918.163829337099742
21,243,1,Location 21 - 243,1,2,21,,,,,28.050816727713908,2337.222150432575290,2352.870794770960401
22,129,1,Location 22 - 129,1,2,22,,,,,18.162164451917675,1513.313442849278317,1526.243726128177741
23,130,1,Location 23 - 130,2,2,23,,,,,26.818111831266897,2234.525684066546091,2257.604929982509020
24,104,1,Location 24 - 104,1,1,24,,,,,12.020868101508729,1001.596752277549967,1011.035220994637825
25,136,1,Location 25 - 136,1,2,25,,,,,23.937891439563398,1994.553764717858485,2013.165114261574900
26,243,1,Location 26 - 243,1,2,26,,,,,12.111138096996491,1009.115238450346851,1017.474777555093624
27,114,1,Location 27 - 114,2,2,27,,,,,30.012509245391847,2500.672390816944244,2521.008718010356915
28,114,1,Location 28 - 114,1,2,28,,,,,10.097272046348557,841.317517917208761,848.241085436056323
29,166,1,Location 29 - 166,2,2,29,,,,,108.275370332997937,9021.313515903137159,9120.443428928403591
30,23,1,Location 30 - 23,2,2,30,,,,,12.599024254553761,1049.836752258168872,1062.057205356928762
31,243,1,Location 31 - 243,2,2,31,,,,,37.175093779526058,3097.460512215559447,3119.725439316867323
32,219,1,Location 32 - 219,2,1,32,,,,,73.014167913205895,6083.441475639082455,6147.787352546738475
33,114,1,Location 33 - 114,1,2,33,,,,,52.339288352199262,4360.939259044721439,4391.964128693611201
34,35,1,Location 34 - 35,1,1,34,,,,,5.853293174426783,487.716905192754439,493.676055660226496
35,76,1,Location 35 - 76,2,1,35,,,,,8.354447528678135,696.127495887324358,701.237353195283163
36,203,1,Location 36 - 203,2,2,36,,,,,18.368970907722883,1530.583445010085143,1542.178994657390376
37,209,1,Location 37 - 209,2,1,37,,,,,21.619364380493462,1801.349120220768327,1819.448354822824058
38,164,1,Location 38 - 164,2,1,38,,,,,28.964678287797266,2413.596357854986309,2439.165195867653892
39,8,1,Location 39 - 8,2,1,39,,,,,6.447823828147674,537.264665295584791,542.044242574334817
40,32,1,Location 40 - 32,2,2,40,,,,,27.199081308240995,2266.443746487962017,2291.320401713195679
41,29,1,Location 41 - 29,2,2,41,,,,,24.390346971066403,2032.417058100427766,2054.137929648723912
42,18,1,Location 42 - 18,2,1,42,,,,,9.874153472749125,822.777128886620517,830.427174853704400
43,80,1,Location 43 - 80,2,2,43,,,,,8.319020922175591,693.193131925260673,698.248234005547943
44,30,1,Location 44 - 30,2,1,44,,,,,15.548240513178067,1295.568747406066450,1305.178261549080162
45,119,1,Location 45 - 119,2,2,45,,,,,13.465888777297998,1122.070967589545489,1131.173482324630868
46,106,1,Location 46 - 106,1,1,46,,,,,12.245854719927630,1020.408719944989343,1027.762659172044096
47,52,1,Location 47 - 52,1,2,47,,,,,7.214858399186905,601.193520570754913,607.532413972149129
48,50,1,Location 48 - 50,1,2,48,,,,,19.984864930687557,1665.282185355691581,1680.323543070153164
49,51,1,Location 49 - 51,1,1,49,,,,,6.949536036027962,579.087187015369977,584.785086017312210
50,242,1,Location 50 - 242,1,2,50,,,,,15.344632975292109,1278.627773601181389,1289.282727370310567
51,39,1,Location 51 - 39,2,2,51,,,,,31.478699105905548,2623.121317858972816,2652.942328318758882
52,198,1,Location 52 - 198,1,1,52,,,,,28.627013217531893,2385.379679435599883,2406.542282747715944
53,179,1,Location 53 - 179,2,2,53,,,,,12.048884680357983,1003.982041509712644,1011.190224515194814
54,27,1,Location 54 - 27,2,1,54,,,,,7.582350653000294,631.780565219429036,637.177932759991904
55,32,1,Location 55 - 32,2,2,55,,,,,30.971008204785196,2580.756217538911187,2608.464677927501725
56,48,1,Location 56 - 48,1,1,56,,,,,56.115494859086958,4675.987881804899189,4709.080010330694677
57,52,1,Location 57 - 52,1,2,57,,,,,28.735400314002355,2394.446938575591957,2413.863602304023061
